IP,HOP,AS,Geo,rDNS,ISP,Country,Region,City,Timezone,ASN_Info
172.24.96.1,1,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.1.1,2,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
186.106.0.1,3,AS7418,"-33.4569,-70.6483",N/A,AS7418 TELEFÓNICA CHILE S.A.,Chile,Santiago Metropolitan,Santiago,N/A,N/A
10.50.3.21,4,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.50.3.22,5,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.53.0.144,6,AS12956,"-33.4569,-70.6483",N/A,AS12956 TELEFONICA GLOBAL SOLUTIONS SL,Spain,Madrid,Madrid,N/A,N/A
213.140.43.234,8,AS12956,"25.7743,-80.1937",N/A,AS12956 TELEFONICA GLOBAL SOLUTIONS SL,Spain,Madrid,Madrid,N/A,N/A
62.115.120.176,10,AS1299,"39.0437,-77.4875",ash-bb2-link.ip.twelve99.net,AS1299 Arelion Sweden AB,United States,Virginia,Ashburn,N/A,N/A
62.115.136.200,11,AS1299,"40.7143,-74.0060",nyk-bb2-link.ip.twelve99.net,AS1299 Arelion Sweden AB,United States,New York,New York,N/A,N/A
62.115.112.71,12,AS1299,"40.7143,-74.0060",nyk-b11-link.ip.twelve99.net,AS1299 Arelion Sweden AB,United States,New York,New York,N/A,N/A
62.115.57.79,13,AS1299,"40.7143,-74.0060",flagtelecom-ic-375996.ip.twelve99-cust.net,AS1299 Arelion Sweden AB,United States,New York,New York,N/A,N/A
85.95.26.222,14,AS15412,"48.8534,2.3488",xe-8-3-0.0.cjr03.chn001.flagtel.com,AS15412 FLAG TELECOM UK LIMITED,India,Tamil Nadu,Chennai,N/A,N/A
62.216.128.214,15,AS15412,"43.2970,5.3811",ae5.0.cjr02.mrs005.flagtel.com,AS15412 FLAG TELECOM UK LIMITED,France,Provence-Alpes-Côte d'Azur,Marseille,N/A,N/A
85.95.27.114,16,AS15412,"25.0772,55.3093",N/A,AS15412 FLAG TELECOM UK LIMITED,India,Maharashtra,Mumbai,N/A,N/A
85.95.26.182,17,AS15412,"25.0772,55.3093",xe-11-0-0.0.pjr03.mmb004.flagtel.com,AS15412 FLAG TELECOM UK LIMITED,India,Maharashtra,Mumbai,N/A,N/A
80.77.4.60,18,AS15412,"25.0772,55.3093",N/A,AS15412 FLAG TELECOM UK LIMITED,United States,District of Columbia,Washington,N/A,N/A
