IP,HOP,AS,Metadata1,Metadata2,Metadata3
172.24.96.1,1,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
192.168.1.1,2,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
186.106.0.1,3,AS7418,"Geo: -33.4569,-70.6483",rDNS: N/A,ISP: AS7418 TELEFÓNICA CHILE S.A.
10.50.3.21,4,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
10.50.3.22,5,Unknown,Geo: N/A,rDNS: N/A,ISP: N/A
5.53.0.144,6,AS12956,"Geo: -33.4569,-70.6483",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
213.140.43.234,8,AS12956,"Geo: 25.7743,-80.1937",rDNS: N/A,ISP: AS12956 TELEFONICA GLOBAL SOLUTIONS SL
62.115.120.176,10,AS1299,"Geo: 39.0437,-77.4875",rDNS: ash-bb2-link.ip.twelve99.net,ISP: AS1299 Arelion Sweden AB
62.115.136.200,11,AS1299,"Geo: 40.7143,-74.0060",rDNS: nyk-bb2-link.ip.twelve99.net,ISP: AS1299 Arelion Sweden AB
62.115.112.71,12,AS1299,"Geo: 40.7143,-74.0060",rDNS: nyk-b11-link.ip.twelve99.net,ISP: AS1299 Arelion Sweden AB
62.115.57.79,13,AS1299,"Geo: 40.7143,-74.0060",rDNS: flagtelecom-ic-375996.ip.twelve99-cust.net,ISP: AS1299 Arelion Sweden AB
85.95.26.222,14,AS15412,"Geo: 48.8534,2.3488",rDNS: xe-8-3-0.0.cjr03.chn001.flagtel.com,ISP: AS15412 FLAG TELECOM UK LIMITED
62.216.128.214,15,AS15412,"Geo: 43.2970,5.3811",rDNS: ae5.0.cjr02.mrs005.flagtel.com,ISP: AS15412 FLAG TELECOM UK LIMITED
85.95.27.114,16,AS15412,"Geo: 25.0772,55.3093",rDNS: N/A,ISP: AS15412 FLAG TELECOM UK LIMITED
85.95.26.182,17,AS15412,"Geo: 25.0772,55.3093",rDNS: xe-11-0-0.0.pjr03.mmb004.flagtel.com,ISP: AS15412 FLAG TELECOM UK LIMITED
80.77.4.60,18,AS15412,"Geo: 25.0772,55.3093",rDNS: N/A,ISP: AS15412 FLAG TELECOM UK LIMITED
