IP,HOP,AS,Metadata1,Metadata2,Metadata3
172.24.96.1,1,Unknown,N/A,N/A,N/A
192.168.1.1,2,Unknown,N/A,N/A,N/A
186.106.0.1,3,AS7418,N/A,N/A,N/A
10.50.3.21,4,Unknown,N/A,N/A,N/A
10.50.3.22,5,Unknown,N/A,N/A,N/A
5.53.0.144,6,AS12956,N/A,N/A,N/A
213.140.43.234,8,AS12956,N/A,N/A,N/A
62.115.120.176,10,AS1299,N/A,N/A,N/A
62.115.136.200,11,AS1299,N/A,N/A,N/A
62.115.112.71,12,AS1299,N/A,N/A,N/A
62.115.57.79,13,AS1299,N/A,N/A,N/A
85.95.26.222,14,AS15412,N/A,N/A,N/A
62.216.128.214,15,AS15412,N/A,N/A,N/A
85.95.27.114,16,AS15412,N/A,N/A,N/A
85.95.26.182,17,AS15412,N/A,N/A,N/A
80.77.4.60,18,AS15412,N/A,N/A,N/A
